date,interest
2005-01-31,0.0
2005-02-28,0.0
2005-03-31,0.0
2005-04-30,0.0
2005-05-31,0.0
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.0
2005-12-31,0.0
2006-01-31,0.0
2006-02-28,0.0
2006-03-31,0.0
2006-04-30,0.0
2006-05-31,0.0
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,90.0
2007-12-31,0.0
2008-01-31,100.0
2008-02-29,97.0
2008-03-31,0.0
2008-04-30,0.0
2008-05-31,0.0
2008-06-30,0.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,0.0
2008-11-30,0.0
2008-12-31,0.0
2009-01-31,0.0
2009-02-28,0.0
2009-03-31,0.0
2009-04-30,0.0
2009-05-31,0.0
2009-06-30,0.0
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,0.0
2009-11-30,0.0
2009-12-31,0.0
2010-01-31,0.0
2010-02-28,0.0
2010-03-31,0.0
2010-04-30,68.0
2010-05-31,0.0
2010-06-30,0.0
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,69.0
2010-11-30,0.0
2010-12-31,77.0
2011-01-31,44.0
2011-02-28,39.0
2011-03-31,46.0
2011-04-30,42.0
2011-05-31,40.0
2011-06-30,38.0
2011-07-31,44.0
2011-08-31,44.0
2011-09-30,50.0
2011-10-31,45.0
2011-11-30,50.0
2011-12-31,53.0
2012-01-31,53.0
2012-02-29,51.0
2012-03-31,57.0
2012-04-30,43.0
2012-05-31,52.0
2012-06-30,47.0
2012-07-31,54.0
2012-08-31,52.0
2012-09-30,61.0
2012-10-31,51.0
2012-11-30,60.0
2012-12-31,63.0
2013-01-31,65.0
2013-02-28,60.0
2013-03-31,64.0
2013-04-30,67.0
2013-05-31,60.0
2013-06-30,61.0
2013-07-31,62.0
2013-08-31,71.0
2013-09-30,67.0
2013-10-31,59.0
2013-11-30,62.0
2013-12-31,78.0
2014-01-31,71.0
2014-02-28,65.0
2014-03-31,62.0
2014-04-30,59.0
2014-05-31,63.0
2014-06-30,68.0
2014-07-31,72.0
2014-08-31,72.0
2014-09-30,63.0
2014-10-31,67.0
2014-11-30,73.0
2014-12-31,95.0
2015-01-31,75.0
2015-02-28,67.0
2015-03-31,60.0
2015-04-30,54.0
2015-05-31,58.0
2015-06-30,60.0
2015-07-31,58.0
2015-08-31,72.0
2015-09-30,66.0
2015-10-31,57.0
2015-11-30,59.0
2015-12-31,73.0
2016-01-31,63.0
2016-02-29,62.0
2016-03-31,59.0
2016-04-30,52.0
2016-05-31,48.0
2016-06-30,57.0
2016-07-31,60.0
2016-08-31,57.0
2016-09-30,55.0
2016-10-31,53.0
2016-11-30,59.0
2016-12-31,69.0
2017-01-31,60.0
2017-02-28,55.0
2017-03-31,52.0
2017-04-30,44.0
2017-05-31,44.0
2017-06-30,48.0
2017-07-31,53.0
2017-08-31,58.0
2017-09-30,53.0
2017-10-31,49.0
2017-11-30,59.0
2017-12-31,61.0
2018-01-31,52.0
2018-02-28,51.0
2018-03-31,51.0
2018-04-30,49.0
2018-05-31,49.0
2018-06-30,52.0
2018-07-31,54.0
2018-08-31,50.0
2018-09-30,48.0
2018-10-31,45.0
2018-11-30,54.0
2018-12-31,60.0
2019-01-31,50.0
2019-02-28,50.0
2019-03-31,47.0
2019-04-30,45.0
2019-05-31,44.0
2019-06-30,46.0
2019-07-31,46.0
2019-08-31,50.0
2019-09-30,45.0
2019-10-31,41.0
2019-11-30,45.0
2019-12-31,47.0
2020-01-31,42.0
2020-02-29,34.0
2020-03-31,37.0
2020-04-30,34.0
2020-05-31,41.0
2020-06-30,46.0
2020-07-31,44.0
2020-08-31,53.0
2020-09-30,37.0
2020-10-31,30.0
2020-11-30,35.0
2020-12-31,36.0
2021-01-31,35.0
2021-02-28,31.0
2021-03-31,29.0
2021-04-30,27.0
2021-05-31,29.0
2021-06-30,34.0
2021-07-31,35.0
2021-08-31,36.0
2021-09-30,29.0
2021-10-31,28.0
2021-11-30,31.0
2021-12-31,35.0
2022-01-31,37.0
2022-02-28,35.0
2022-03-31,33.0
2022-04-30,30.0
2022-05-31,32.0
2022-06-30,29.0
2022-07-31,35.0
2022-08-31,34.0
2022-09-30,30.0
2022-10-31,28.0
2022-11-30,34.0
2022-12-31,33.0
2023-01-31,29.0
2023-02-28,29.0
2023-03-31,28.0
2023-04-30,28.0
2023-05-31,27.0
2023-06-30,31.0
2023-07-31,35.0
2023-08-31,32.0
2023-09-30,32.0
2023-10-31,28.0
2023-11-30,34.0
2023-12-31,32.0
2024-01-31,31.0
2024-02-29,32.0
2024-03-31,28.0
2024-04-30,25.0
2024-05-31,29.0
2024-06-30,32.0
2024-07-31,30.0
2024-08-31,28.0
2024-09-30,29.0
2024-10-31,27.0
2024-11-30,28.0
2024-12-31,28.0
2025-01-31,30.0
2025-02-28,31.0
2025-03-31,30.0
2025-04-30,25.0
2025-05-31,30.0
2025-06-30,32.0
2025-07-31,30.0
2025-08-31,35.0
2025-09-30,28.0
2025-10-31,29.0
2025-11-30,36.0
2025-12-31,35.0
